Var1	Var2
0	-27.8388278388273
0.00390625	-36.6300366300361
0.0078125	-21.9780219780215
0.01171875	-19.0476190476185
0.015625	-16.1172161172156
0.01953125	-16.1172161172156
0.0234375	-4.39560439560389
0.02734375	-10.2564102564098
0.03125	-19.0476190476185
0.03515625	-42.490842490842
0.0390625	-74.7252747252742
0.04296875	-45.4212454212449
0.046875	-42.490842490842
0.05078125	-7.32600732600682
0.0546875	-7.32600732600682
0.05859375	19.0476190476196
0.0625	30.7692307692313
0.06640625	-10.2564102564098
0.0703125	-27.8388278388273
0.07421875	-30.7692307692303
0.078125	-24.9084249084244
0.08203125	-33.6996336996332
0.0859375	-39.5604395604391
0.08984375	-39.5604395604391
0.09375	-30.7692307692303
0.09765625	-45.4212454212449
0.1015625	-39.5604395604391
0.10546875	-51.2820512820508
0.109375	-39.5604395604391
0.11328125	-48.3516483516478
0.1171875	-36.6300366300361
0.12109375	-39.5604395604391
0.125	-30.7692307692303
0.12890625	-45.4212454212449
0.1328125	-51.2820512820508
0.13671875	-36.6300366300361
0.140625	-30.7692307692303
0.14453125	-39.5604395604391
0.1484375	-4.39560439560389
0.15234375	-21.9780219780215
0.15625	-36.6300366300361
0.16015625	-77.6556776556771
0.1640625	-98.1684981684977
0.16796875	-83.516483516483
0.171875	-48.3516483516478
0.17578125	-63.0036630036625
0.1796875	-33.6996336996332
0.18359375	-4.39560439560389
0.1875	-30.7692307692303
0.19140625	-51.2820512820508
0.1953125	-36.6300366300361
0.19921875	-57.1428571428566
0.203125	-39.5604395604391
0.20703125	-48.3516483516478
0.2109375	-60.0732600732596
0.21484375	-39.5604395604391
0.21875	-42.490842490842
0.22265625	-71.7948717948713
0.2265625	-77.6556776556771
0.23046875	-83.516483516483
0.234375	-60.0732600732596
0.23828125	-30.7692307692303
0.2421875	-10.2564102564098
0.24609375	-4.39560439560389
0.25	10.2564102564108
0.25390625	4.3956043956049
0.2578125	1.46520146520197
0.26171875	-42.490842490842
0.265625	-45.4212454212449
0.26953125	-86.4468864468859
0.2734375	-77.6556776556771
0.27734375	-92.3076923076918
0.28125	-74.7252747252742
0.28515625	-68.8644688644684
0.2890625	-63.0036630036625
0.29296875	-51.2820512820508
0.296875	-33.6996336996332
0.30078125	-42.490842490842
0.3046875	-19.0476190476185
0.30859375	-7.32600732600682
0.3125	-13.1868131868127
0.31640625	-51.2820512820508
0.3203125	-77.6556776556771
0.32421875	-65.9340659340654
0.328125	-24.9084249084244
0.33203125	4.3956043956049
0.3359375	30.7692307692313
0.33984375	57.1428571428576
0.34375	24.9084249084254
0.34765625	-1.46520146520096
0.3515625	-21.9780219780215
0.35546875	-48.3516483516478
0.359375	-27.8388278388273
0.36328125	-27.8388278388273
0.3671875	-36.6300366300361
0.37109375	-24.9084249084244
0.375	-65.9340659340654
0.37890625	-74.7252747252742
0.3828125	-68.8644688644684
0.38671875	-57.1428571428566
0.390625	-74.7252747252742
0.39453125	-65.9340659340654
0.3984375	-48.3516483516478
0.40234375	-60.0732600732596
0.40625	-54.2124542124537
0.41015625	-60.0732600732596
0.4140625	-74.7252747252742
0.41796875	-60.0732600732596
0.421875	-54.2124542124537
0.42578125	-68.8644688644684
0.4296875	-36.6300366300361
0.43359375	27.8388278388283
0.4375	68.8644688644694
0.44140625	106.959706959707
0.4453125	171.428571428572
0.44921875	215.384615384616
0.453125	209.52380952381
0.45703125	197.802197802198
0.4609375	133.333333333334
0.46484375	-21.9780219780215
0.46875	-189.010989010988
0.47265625	-247.619047619047
0.4765625	-294.505494505494
0.48046875	-268.131868131868
0.484375	-194.871794871794
0.48828125	-142.124542124542
0.4921875	-89.3772893772889
0.49609375	-95.2380952380947
0.5	-95.2380952380947
0.50390625	-80.5860805860801
0.5078125	-60.0732600732596
0.51171875	-63.0036630036625
0.515625	-60.0732600732596
0.51953125	-63.0036630036625
0.5234375	-60.0732600732596
0.52734375	-77.6556776556771
0.53125	-65.9340659340654
0.53515625	-71.7948717948713
0.5390625	-54.2124542124537
0.54296875	-24.9084249084244
0.546875	-13.1868131868127
0.55078125	-51.2820512820508
0.5546875	-65.9340659340654
0.55859375	-80.5860805860801
0.5625	-92.3076923076918
0.56640625	-86.4468864468859
0.5703125	-48.3516483516478
0.57421875	-30.7692307692303
0.578125	-10.2564102564098
0.58203125	-42.490842490842
0.5859375	-54.2124542124537
0.58984375	-36.6300366300361
0.59375	-13.1868131868127
0.59765625	19.0476190476196
0.6015625	19.0476190476196
0.60546875	16.1172161172166
0.609375	13.1868131868137
0.61328125	19.0476190476196
0.6171875	-7.32600732600682
0.62109375	-13.1868131868127
0.625	-4.39560439560389
0.62890625	-7.32600732600682
0.6328125	-4.39560439560389
0.63671875	16.1172161172166
0.640625	19.0476190476196
0.64453125	54.2124542124547
0.6484375	63.0036630036635
0.65234375	54.2124542124547
0.65625	57.1428571428576
0.66015625	60.0732600732606
0.6640625	74.7252747252752
0.66796875	98.1684981684987
0.671875	147.985347985348
0.67578125	153.846153846154
0.6796875	162.637362637363
0.68359375	197.802197802198
0.6875	212.454212454213
0.69140625	186.080586080587
0.6953125	191.941391941392
0.69921875	191.941391941392
0.703125	177.289377289378
0.70703125	150.915750915751
0.7109375	136.263736263737
0.71484375	121.611721611722
0.71875	121.611721611722
0.72265625	92.3076923076928
0.7265625	98.1684981684987
0.73046875	65.9340659340664
0.734375	57.1428571428576
0.73828125	30.7692307692313
0.7421875	16.1172161172166
0.74609375	27.8388278388283
0.75	13.1868131868137
0.75390625	7.32600732600783
0.7578125	-7.32600732600682
0.76171875	-27.8388278388273
0.765625	-36.6300366300361
0.76953125	-63.0036630036625
0.7734375	-48.3516483516478
0.77734375	-33.6996336996332
0.78125	-39.5604395604391
0.78515625	-51.2820512820508
0.7890625	-33.6996336996332
0.79296875	-30.7692307692303
0.796875	-48.3516483516478
0.80078125	-68.8644688644684
0.8046875	-27.8388278388273
0.80859375	-33.6996336996332
0.8125	-21.9780219780215
0.81640625	-54.2124542124537
0.8203125	-51.2820512820508
0.82421875	-42.490842490842
0.828125	-57.1428571428566
0.83203125	-21.9780219780215
0.8359375	-7.32600732600682
0.83984375	19.0476190476196
0.84375	-4.39560439560389
0.84765625	-4.39560439560389
0.8515625	-1.46520146520096
0.85546875	1.46520146520197
0.859375	-1.46520146520096
0.86328125	10.2564102564108
0.8671875	-10.2564102564098
0.87109375	-19.0476190476185
0.875	-4.39560439560389
0.87890625	-13.1868131868127
0.8828125	-16.1172161172156
0.88671875	1.46520146520197
0.890625	1.46520146520197
0.89453125	-19.0476190476185
0.8984375	-24.9084249084244
0.90234375	-27.8388278388273
0.90625	-30.7692307692303
0.91015625	-51.2820512820508
0.9140625	-54.2124542124537
0.91796875	-24.9084249084244
0.921875	-24.9084249084244
0.92578125	-19.0476190476185
0.9296875	-21.9780219780215
0.93359375	-30.7692307692303
0.9375	-45.4212454212449
0.94140625	-74.7252747252742
0.9453125	-109.890109890109
0.94921875	-95.2380952380947
0.953125	-48.3516483516478
0.95703125	-19.0476190476185
0.9609375	4.3956043956049
0.96484375	1.46520146520197
0.96875	19.0476190476196
0.97265625	-19.0476190476185
0.9765625	-33.6996336996332
0.98046875	-27.8388278388273
0.984375	-13.1868131868127
0.98828125	-13.1868131868127
0.9921875	-13.1868131868127
0.99609375	-30.7692307692303
1	-24.9084249084244
1.00390625	-48.3516483516478
1.0078125	-24.9084249084244
1.01171875	-24.9084249084244
1.015625	-27.8388278388273
1.01953125	-39.5604395604391
1.0234375	-57.1428571428566
